user_id,restaurant_id,rating
238,2671,1.0
2704,2671,1.0
2838,2671,1.0
3165,2671,0.75
574,2671,0.5
162,2671,0.75
1105,2671,1.0
2758,2670,0.75
3055,2670,1.0
711,2670,1.0
2267,2670,1.0
1755,2670,0.75
1558,2670,0.75
3093,2670,1.0
1861,2669,1.0
345,2669,0.75
1261,2669,1.0
2425,2669,1.0
2053,2669,1.0
1523,2669,1.0
1733,2669,1.0
2523,2669,1.0
591,2669,1.0
3453,2669,1.0
1224,2669,0.75
3505,2669,1.0
1198,2669,1.0
1918,2669,0.75
2149,2669,1.0
1372,2669,1.0
3312,2669,1.0
1386,2669,1.0
1107,2669,0.75
1339,2669,0.75
87,2669,0.75
1336,2669,0.75
1503,2669,1.0
557,2669,1.0
1883,2669,0.75
2388,2669,0.75
3277,2668,0.75
928,2668,1.0
1202,2668,0.75
1788,2668,0.75
2173,2668,1.0
2140,2668,1.0
1907,2668,0.5
2069,2668,0.0
1735,2667,1.0
3031,2667,0.75
3148,2667,1.0
1551,2667,1.0
3240,2667,1.0
158,2667,1.0
2789,2667,0.75
720,2667,1.0
2016,2667,1.0
807,2666,0.5
1863,2666,1.0
391,2666,0.5
1459,2666,1.0
2534,2666,1.0
3055,2666,1.0
3380,2666,1.0
1104,2666,1.0
958,2666,1.0
1665,2666,1.0
1114,2666,1.0
1987,2666,0.75
1097,2666,1.0
1854,2666,1.0
473,2666,0.75
2748,2666,0.75
955,2665,0.75
2545,2665,1.0
3020,2665,1.0
2717,2665,0.75
179,2665,0.5
727,2665,0.75
1095,2665,1.0
1682,2665,1.0
2297,2665,0.75
815,2665,0.75
964,2665,1.0
1480,2665,1.0
1977,2665,1.0
1981,2665,1.0
2928,2665,0.5
1859,2665,0.75
3477,2664,1.0
2270,2664,1.0
1795,2664,0.75
2924,2664,1.0
31,2664,1.0
1483,2664,0.75
1638,2664,1.0
446,2663,1.0
896,2663,1.0
2019,2663,1.0
738,2663,1.0
1532,2663,1.0
1706,2663,0.75
2317,2663,0.75
1633,2662,1.0
2883,2662,1.0
492,2662,1.0
2280,2662,1.0
1175,2662,1.0
2706,2662,1.0
543,2662,1.0
2058,2661,1.0
2801,2661,1.0
1609,2661,1.0
3078,2661,1.0
1798,2661,1.0
855,2661,1.0
2039,2661,1.0
1966,2661,1.0
2762,2660,1.0
1253,2660,1.0
2261,2660,1.0
2401,2660,0.75
855,2660,0.5
673,2660,1.0
1060,2660,0.75
926,2660,1.0
2394,2660,0.75
3520,2660,1.0
785,2660,0.75
1599,2660,0.5
2408,2659,0.75
1308,2659,0.5
568,2659,0.5
797,2659,1.0
835,2659,1.0
2434,2659,1.0
550,2659,0.75
3328,2659,1.0
351,2659,0.25
2695,2659,0.75
905,2659,1.0
1987,2659,0.75
919,2659,0.75
2906,2659,0.5
2260,2659,1.0
3371,2659,0.75
1776,2659,1.0
2648,2659,0.75
655,2658,1.0
2847,2658,0.25
3379,2658,0.75
1439,2658,0.75
3481,2658,1.0
2238,2658,0.75
2226,2658,1.0
96,2658,1.0
2294,2658,1.0
3323,2658,0.75
2269,2658,0.75
2148,2658,1.0
3534,2658,0.5
3344,2658,0.5
19,2658,1.0
3300,2658,1.0
914,2657,1.0
3344,2657,1.0
2647,2657,0.5
3338,2657,1.0
1069,2657,1.0
2222,2657,0.75
1063,2657,0.75
1192,2657,0.75
19,2657,1.0
3337,2657,0.75
260,2657,1.0
3270,2657,1.0
2193,2657,1.0
1570,2657,1.0
2836,2657,1.0
1555,2657,1.0
1123,2657,0.75
3305,2657,1.0
880,2657,1.0
1524,2657,1.0
2103,2656,1.0
1157,2656,1.0
2337,2656,0.75
379,2656,1.0
2503,2656,1.0
203,2656,0.75
3172,2656,0.75
999,2656,0.75
3182,2656,0.75
3107,2656,1.0
1285,2656,1.0
1462,2656,0.75
1020,2655,0.5
1633,2655,1.0
3467,2655,1.0
2811,2655,0.5
1397,2655,0.75
202,2655,1.0
1882,2655,1.0
2048,2655,1.0
3156,2655,1.0
1826,2655,1.0
